ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
5,1,0.0,0,0,1,1,1,13.0,0,2
9,0,3.0,0,0,1,1,1,13.0,0,2
62,1,8.0,1,0,1,0,1,8.0,0,0
35,1,10.0,1,0,1,1,1,8.0,0,0
54,0,13.0,0,0,1,0,1,8.0,0,0
18,0,14.0,0,0,0,1,1,13.0,0,0
69,1,10.0,1,1,1,1,1,10.0,0,0
71,0,10.0,0,0,1,1,1,10.0,0,0
31,0,8.0,0,0,1,1,1,10.0,0,0
51,0,16.0,1,1,0,1,1,16.0,1,0
48,1,13.0,1,1,0,1,1,16.0,1,0
61,0,8.0,0,1,0,1,0,8.0,1,0
89,1,8.0,0,1,0,1,0,8.0,1,0
89,0,6.0,0,1,0,1,0,6.0,1,0
54,1,19.0,1,1,0,1,0,6.0,1,0
52,1,19.0,1,1,0,1,0,6.0,1,0
63,1,10.0,1,0,0,1,1,10.0,0,0
44,1,13.0,1,1,0,1,1,13.0,0,0
76,1,9.0,1,0,0,1,1,9.0,0,0
26,1,16.0,1,1,0,1,1,16.0,0,0
27,0,16.0,1,1,0,1,1,16.0,0,0
25,1,13.0,1,1,0,1,1,13.0,0,0
41,1,16.0,1,1,0,1,1,16.0,0,1
10,0,5.0,0,1,0,1,1,16.0,0,1
50,0,13.0,1,1,0,1,1,13.0,1,0
20,0,14.0,0,1,0,1,1,13.0,1,0
57,0,8.0,1,1,0,1,1,8.0,1,1
36,1,13.0,1,1,0,1,1,8.0,1,1
32,0,13.0,0,1,0,1,1,8.0,1,1
4,0,0.0,0,1,0,1,1,8.0,1,1
33,0,13.0,0,0,0,1,1,8.0,1,1
44,1,19.0,1,1,0,1,1,19.0,0,0
32,0,19.0,1,1,0,1,1,19.0,0,0
39,1,8.0,1,1,0,1,1,8.0,0,0
68,0,10.0,0,1,0,0,0,10.0,1,0
78,0,12.0,0,1,0,1,1,8.0,1,1
76,1,5.0,0,1,0,0,0,10.0,1,0
77,1,8.0,0,1,0,0,0,8.0,0,1
66,0,13.0,0,1,0,0,0,8.0,0,1
49,1,14.0,1,1,0,1,0,8.0,0,1
17,0,13.0,0,1,0,1,0,8.0,0,1
65,1,13.0,1,1,0,0,1,13.0,0,0
63,0,13.0,0,1,0,0,1,13.0,0,0
14,1,10.0,0,1,0,1,0,8.0,0,1
52,0,13.0,1,1,0,1,1,13.0,1,0
22,1,13.0,1,1,0,1,1,13.0,1,0
37,1,16.0,1,1,0,1,1,16.0,0,0
79,1,13.0,1,1,0,0,1,16.0,0,0
69,0,8.0,0,1,0,0,1,16.0,0,0
29,1,11.0,1,1,0,1,1,16.0,0,0
37,0,19.0,1,1,0,1,1,19.0,1,0
33,1,13.0,1,1,0,1,1,13.0,0,1
34,0,12.0,1,0,0,1,1,13.0,0,1
4,0,0.0,0,1,0,1,1,13.0,0,1
64,0,4.0,1,1,0,0,1,4.0,1,0
73,1,8.0,1,1,0,0,1,4.0,1,0
48,1,12.0,1,1,0,0,1,12.0,0,0
45,0,10.0,1,1,0,0,1,12.0,0,0
17,0,13.0,0,1,0,1,1,12.0,0,0
52,1,8.0,1,0,1,1,1,8.0,0,1
49,0,13.0,1,0,1,1,1,8.0,0,1
87,1,8.0,0,1,0,0,0,8.0,0,0
83,0,8.0,0,1,0,0,0,8.0,0,0
44,1,8.0,1,1,0,0,1,8.0,0,1
46,0,13.0,0,1,0,0,1,8.0,0,1
15,1,11.0,0,1,0,1,1,8.0,0,1
11,0,8.0,0,1,0,1,1,8.0,0,1
6,1,2.0,0,0,1,1,1,8.0,0,1
79,1,8.0,0,1,0,1,0,8.0,0,0
75,0,8.0,0,1,0,1,0,8.0,0,0
46,1,14.0,1,1,0,0,1,14.0,0,2
41,0,19.0,1,1,0,0,1,14.0,0,2
12,1,7.0,0,1,0,1,1,14.0,0,2
8,1,3.0,0,1,0,1,1,14.0,0,2
62,0,19.0,0,1,0,1,0,19.0,1,0
62,0,13.0,0,1,0,1,0,13.0,1,0
22,1,15.0,0,1,0,1,0,13.0,1,0
60,0,19.0,0,1,0,1,0,13.0,1,0
40,0,12.0,1,1,1,1,1,12.0,1,2
39,1,8.0,1,1,1,1,1,12.0,1,2
21,1,14.0,1,0,1,1,1,12.0,1,2
13,1,9.0,0,0,1,1,1,12.0,1,2
7,0,2.0,0,0,1,1,1,12.0,1,2
56,1,13.0,1,1,0,0,1,13.0,0,0
28,0,16.0,1,1,0,1,1,16.0,1,0
25,1,15.0,0,1,0,1,1,16.0,1,0
26,1,17.0,1,1,0,1,1,17.0,0,0
63,0,10.0,0,1,1,1,0,10.0,1,0
29,1,0.0,0,1,1,1,0,10.0,1,0
30,0,19.0,1,1,0,1,1,16.0,0,0
33,1,16.0,1,1,0,1,1,16.0,0,0
56,1,16.0,1,1,0,1,1,16.0,0,0
83,1,5.0,0,1,1,0,0,5.0,0,1
75,0,0.0,0,1,1,0,0,5.0,0,1
50,0,8.0,0,0,1,1,0,5.0,0,1
74,1,0.0,0,1,1,1,0,10.0,1,0
34,1,13.0,0,0,0,1,0,11.0,0,0
30,0,13.0,1,0,0,1,1,13.0,1,0
19,0,14.0,0,0,0,1,0,14.0,1,0
68,1,8.0,0,1,0,0,0,8.0,0,0
71,1,11.0,0,1,0,1,0,11.0,0,0
57,1,16.0,0,1,0,1,0,16.0,0,0
46,0,16.0,1,1,0,1,1,16.0,1,0
45,1,13.0,1,1,0,1,1,13.0,0,0
36,1,13.0,1,1,0,1,1,13.0,0,2
83,0,13.0,0,1,0,0,0,13.0,1,0
91,1,8.0,0,1,0,0,0,13.0,1,0
33,0,13.0,1,1,1,0,1,13.0,1,3
44,1,9.0,1,1,1,0,1,13.0,1,3
44,1,16.0,1,1,0,0,1,16.0,0,2
88,0,19.0,1,1,0,0,1,16.0,0,2
10,0,6.0,0,1,0,1,1,16.0,0,2
10,0,6.0,0,1,0,1,1,16.0,0,2
31,0,15.0,1,1,0,1,1,15.0,1,0
39,0,12.0,1,1,0,1,1,12.0,1,0
46,1,10.0,0,0,0,1,1,12.0,1,0
30,0,13.0,1,1,0,1,1,13.0,1,0
12,1,7.0,0,1,0,1,1,13.0,0,2
9,1,4.0,0,1,0,1,1,13.0,0,2
12,0,7.0,0,0,1,1,1,11.0,1,3
7,0,2.0,0,0,1,1,1,11.0,1,3
4,0,0.0,0,0,1,1,1,11.0,1,3
51,0,13.0,1,1,0,0,1,13.0,1,1
56,1,13.0,1,1,0,0,1,13.0,1,1
